image_path pid camid material
.\MVB_train\Image\0737_p_1.jpg 0737 p_1 others
.\MVB_train\Image\0737_p_2.jpg 0737 p_2 others
.\MVB_train\Image\0738_g_1.jpg 0738 g_1 hard
.\MVB_train\Image\0738_g_2.jpg 0738 g_2 hard
.\MVB_train\Image\0738_g_3.jpg 0738 g_3 hard
.\MVB_train\Image\0738_p_1.jpg 0738 p_1 hard
.\MVB_train\Image\0738_p_2.jpg 0738 p_2 hard
.\MVB_train\Image\0738_p_3.jpg 0738 p_3 hard
.\MVB_train\Image\0738_p_4.jpg 0738 p_4 hard
.\MVB_train\Image\0739_g_1.jpg 0739 g_1 hard
.\MVB_train\Image\0739_g_2.jpg 0739 g_2 hard
.\MVB_train\Image\0739_g_3.jpg 0739 g_3 hard
.\MVB_train\Image\0739_p_1.jpg 0739 p_1 hard
.\MVB_train\Image\0739_p_2.jpg 0739 p_2 hard
.\MVB_train\Image\0739_p_3.jpg 0739 p_3 hard
.\MVB_train\Image\0740_g_1.jpg 0740 g_1 soft
.\MVB_train\Image\0740_g_2.jpg 0740 g_2 soft
.\MVB_train\Image\0740_g_3.jpg 0740 g_3 soft
.\MVB_train\Image\0740_p_3.jpg 0740 p_3 soft
.\MVB_train\Image\0740_p_4.jpg 0740 p_4 soft
.\MVB_train\Image\0741_g_1.jpg 0741 g_1 hard
.\MVB_train\Image\0741_g_2.jpg 0741 g_2 hard
.\MVB_train\Image\0741_g_3.jpg 0741 g_3 hard
.\MVB_train\Image\0741_p_3.jpg 0741 p_3 hard
.\MVB_train\Image\0741_p_4.jpg 0741 p_4 hard
.\MVB_train\Image\0742_g_1.jpg 0742 g_1 soft
.\MVB_train\Image\0742_g_2.jpg 0742 g_2 soft
.\MVB_train\Image\0742_g_3.jpg 0742 g_3 soft
.\MVB_train\Image\0742_p_1.jpg 0742 p_1 soft
.\MVB_train\Image\0742_p_2.jpg 0742 p_2 soft
.\MVB_train\Image\0742_p_3.jpg 0742 p_3 soft
.\MVB_train\Image\0742_p_4.jpg 0742 p_4 soft
.\MVB_train\Image\0743_g_1.jpg 0743 g_1 others
.\MVB_train\Image\0743_g_2.jpg 0743 g_2 others
.\MVB_train\Image\0743_g_3.jpg 0743 g_3 others
.\MVB_train\Image\0743_p_3.jpg 0743 p_3 others
.\MVB_train\Image\0743_p_4.jpg 0743 p_4 others
.\MVB_train\Image\0744_g_1.jpg 0744 g_1 others
.\MVB_train\Image\0744_g_2.jpg 0744 g_2 others
.\MVB_train\Image\0744_g_3.jpg 0744 g_3 others
.\MVB_train\Image\0744_p_3.jpg 0744 p_3 others
.\MVB_train\Image\0744_p_4.jpg 0744 p_4 others
.\MVB_train\Image\0745_g_1.jpg 0745 g_1 soft
.\MVB_train\Image\0745_g_2.jpg 0745 g_2 soft
.\MVB_train\Image\0745_g_3.jpg 0745 g_3 soft
.\MVB_train\Image\0745_p_1.jpg 0745 p_1 soft
.\MVB_train\Image\0745_p_2.jpg 0745 p_2 soft
.\MVB_train\Image\0745_p_3.jpg 0745 p_3 soft
.\MVB_train\Image\0745_p_4.jpg 0745 p_4 soft
.\MVB_train\Image\0746_g_1.jpg 0746 g_1 others
.\MVB_train\Image\0746_g_2.jpg 0746 g_2 others
.\MVB_train\Image\0746_g_3.jpg 0746 g_3 others
.\MVB_train\Image\0746_p_3.jpg 0746 p_3 others
.\MVB_train\Image\0746_p_4.jpg 0746 p_4 others
.\MVB_train\Image\0747_g_1.jpg 0747 g_1 soft
.\MVB_train\Image\0747_g_2.jpg 0747 g_2 soft
.\MVB_train\Image\0747_g_3.jpg 0747 g_3 soft
.\MVB_train\Image\0747_p_1.jpg 0747 p_1 soft
.\MVB_train\Image\0747_p_2.jpg 0747 p_2 soft
.\MVB_train\Image\0748_g_1.jpg 0748 g_1 others
.\MVB_train\Image\0748_g_2.jpg 0748 g_2 others
.\MVB_train\Image\0748_g_3.jpg 0748 g_3 others
.\MVB_train\Image\0748_p_1.jpg 0748 p_1 others
.\MVB_train\Image\0748_p_2.jpg 0748 p_2 others
.\MVB_train\Image\0748_p_3.jpg 0748 p_3 others
.\MVB_train\Image\0748_p_4.jpg 0748 p_4 others
.\MVB_train\Image\0749_g_1.jpg 0749 g_1 hard
.\MVB_train\Image\0749_g_2.jpg 0749 g_2 hard
.\MVB_train\Image\0749_g_3.jpg 0749 g_3 hard
.\MVB_train\Image\0749_p_3.jpg 0749 p_3 hard
.\MVB_train\Image\0749_p_4.jpg 0749 p_4 hard
.\MVB_train\Image\0750_g_2.jpg 0750 g_2 hard
.\MVB_train\Image\0750_g_3.jpg 0750 g_3 hard
.\MVB_train\Image\0750_p_1.jpg 0750 p_1 hard
.\MVB_train\Image\0750_p_2.jpg 0750 p_2 hard
.\MVB_train\Image\0750_p_3.jpg 0750 p_3 hard
.\MVB_train\Image\0750_p_4.jpg 0750 p_4 hard
.\MVB_train\Image\0751_g_1.jpg 0751 g_1 soft
.\MVB_train\Image\0751_p_1.jpg 0751 p_1 soft
.\MVB_train\Image\0751_p_2.jpg 0751 p_2 soft
.\MVB_train\Image\0751_p_3.jpg 0751 p_3 soft
.\MVB_train\Image\0752_g_1.jpg 0752 g_1 hard
.\MVB_train\Image\0752_g_2.jpg 0752 g_2 hard
.\MVB_train\Image\0752_g_3.jpg 0752 g_3 hard
.\MVB_train\Image\0752_p_1.jpg 0752 p_1 hard
.\MVB_train\Image\0752_p_3.jpg 0752 p_3 hard
.\MVB_train\Image\0752_p_4.jpg 0752 p_4 hard
.\MVB_train\Image\0753_g_1.jpg 0753 g_1 hard
.\MVB_train\Image\0753_g_2.jpg 0753 g_2 hard
.\MVB_train\Image\0753_g_3.jpg 0753 g_3 hard
.\MVB_train\Image\0753_p_1.jpg 0753 p_1 hard
.\MVB_train\Image\0753_p_2.jpg 0753 p_2 hard
.\MVB_train\Image\0753_p_3.jpg 0753 p_3 hard
.\MVB_train\Image\0754_g_1.jpg 0754 g_1 hard
.\MVB_train\Image\0754_g_2.jpg 0754 g_2 hard
.\MVB_train\Image\0754_g_3.jpg 0754 g_3 hard
.\MVB_train\Image\0754_p_1.jpg 0754 p_1 hard
.\MVB_train\Image\0754_p_2.jpg 0754 p_2 hard
.\MVB_train\Image\0755_g_1.jpg 0755 g_1 soft
.\MVB_train\Image\0755_g_2.jpg 0755 g_2 soft
.\MVB_train\Image\0755_g_3.jpg 0755 g_3 soft
.\MVB_train\Image\0755_p_1.jpg 0755 p_1 soft
.\MVB_train\Image\0755_p_2.jpg 0755 p_2 soft
.\MVB_train\Image\0755_p_3.jpg 0755 p_3 soft
.\MVB_train\Image\0755_p_4.jpg 0755 p_4 soft
.\MVB_train\Image\0756_g_1.jpg 0756 g_1 hard
.\MVB_train\Image\0756_g_2.jpg 0756 g_2 hard
.\MVB_train\Image\0756_g_3.jpg 0756 g_3 hard
.\MVB_train\Image\0756_p_3.jpg 0756 p_3 hard
.\MVB_train\Image\0756_p_4.jpg 0756 p_4 hard
.\MVB_train\Image\0757_g_1.jpg 0757 g_1 hard
.\MVB_train\Image\0757_g_2.jpg 0757 g_2 hard
.\MVB_train\Image\0757_g_3.jpg 0757 g_3 hard
.\MVB_train\Image\0757_p_2.jpg 0757 p_2 hard
.\MVB_train\Image\0757_p_3.jpg 0757 p_3 hard
.\MVB_train\Image\0757_p_4.jpg 0757 p_4 hard
.\MVB_train\Image\0758_g_1.jpg 0758 g_1 others
.\MVB_train\Image\0758_g_2.jpg 0758 g_2 others
.\MVB_train\Image\0758_g_3.jpg 0758 g_3 others
.\MVB_train\Image\0758_p_1.jpg 0758 p_1 others
.\MVB_train\Image\0758_p_3.jpg 0758 p_3 others
.\MVB_train\Image\0758_p_4.jpg 0758 p_4 others
.\MVB_train\Image\0759_g_1.jpg 0759 g_1 hard
.\MVB_train\Image\0759_g_2.jpg 0759 g_2 hard
.\MVB_train\Image\0759_g_3.jpg 0759 g_3 hard
.\MVB_train\Image\0759_p_3.jpg 0759 p_3 hard
.\MVB_train\Image\0759_p_4.jpg 0759 p_4 hard
.\MVB_train\Image\0760_g_1.jpg 0760 g_1 hard
.\MVB_train\Image\0760_g_2.jpg 0760 g_2 hard
.\MVB_train\Image\0760_g_3.jpg 0760 g_3 hard
.\MVB_train\Image\0760_p_1.jpg 0760 p_1 hard
.\MVB_train\Image\0760_p_3.jpg 0760 p_3 hard
.\MVB_train\Image\0760_p_4.jpg 0760 p_4 hard
.\MVB_train\Image\0761_g_1.jpg 0761 g_1 hard
.\MVB_train\Image\0761_g_2.jpg 0761 g_2 hard
.\MVB_train\Image\0761_g_3.jpg 0761 g_3 hard
.\MVB_train\Image\0761_p_3.jpg 0761 p_3 hard
.\MVB_train\Image\0761_p_4.jpg 0761 p_4 hard
.\MVB_train\Image\0762_g_1.jpg 0762 g_1 hard
.\MVB_train\Image\0762_g_2.jpg 0762 g_2 hard
.\MVB_train\Image\0762_g_3.jpg 0762 g_3 hard
.\MVB_train\Image\0762_p_1.jpg 0762 p_1 hard
.\MVB_train\Image\0762_p_3.jpg 0762 p_3 hard
.\MVB_train\Image\0762_p_4.jpg 0762 p_4 hard
.\MVB_train\Image\0763_g_1.jpg 0763 g_1 hard
.\MVB_train\Image\0763_g_2.jpg 0763 g_2 hard
.\MVB_train\Image\0763_g_3.jpg 0763 g_3 hard
.\MVB_train\Image\0763_p_1.jpg 0763 p_1 hard
.\MVB_train\Image\0763_p_2.jpg 0763 p_2 hard
.\MVB_train\Image\0764_g_2.jpg 0764 g_2 hard
.\MVB_train\Image\0764_g_3.jpg 0764 g_3 hard
.\MVB_train\Image\0764_p_4.jpg 0764 p_4 hard
.\MVB_train\Image\0765_g_1.jpg 0765 g_1 soft
.\MVB_train\Image\0765_g_2.jpg 0765 g_2 soft
.\MVB_train\Image\0765_g_3.jpg 0765 g_3 soft
.\MVB_train\Image\0765_p_3.jpg 0765 p_3 soft
.\MVB_train\Image\0765_p_4.jpg 0765 p_4 soft
.\MVB_train\Image\0766_g_1.jpg 0766 g_1 soft
.\MVB_train\Image\0766_g_2.jpg 0766 g_2 soft
.\MVB_train\Image\0766_g_3.jpg 0766 g_3 soft
.\MVB_train\Image\0766_p_3.jpg 0766 p_3 soft
.\MVB_train\Image\0766_p_4.jpg 0766 p_4 soft
.\MVB_train\Image\0767_g_1.jpg 0767 g_1 soft
.\MVB_train\Image\0767_g_2.jpg 0767 g_2 soft
.\MVB_train\Image\0767_g_3.jpg 0767 g_3 soft
.\MVB_train\Image\0767_p_3.jpg 0767 p_3 soft
.\MVB_train\Image\0767_p_4.jpg 0767 p_4 soft
.\MVB_train\Image\0768_g_1.jpg 0768 g_1 hard
.\MVB_train\Image\0768_g_2.jpg 0768 g_2 hard
.\MVB_train\Image\0768_g_3.jpg 0768 g_3 hard
.\MVB_train\Image\0768_p_1.jpg 0768 p_1 hard
.\MVB_train\Image\0768_p_2.jpg 0768 p_2 hard
.\MVB_train\Image\0768_p_3.jpg 0768 p_3 hard
.\MVB_train\Image\0768_p_4.jpg 0768 p_4 hard
.\MVB_train\Image\0769_g_1.jpg 0769 g_1 hard
.\MVB_train\Image\0769_g_2.jpg 0769 g_2 hard
.\MVB_train\Image\0769_g_3.jpg 0769 g_3 hard
.\MVB_train\Image\0769_p_3.jpg 0769 p_3 hard
.\MVB_train\Image\0769_p_4.jpg 0769 p_4 hard
.\MVB_train\Image\0770_g_1.jpg 0770 g_1 hard
.\MVB_train\Image\0770_g_2.jpg 0770 g_2 hard
.\MVB_train\Image\0770_g_3.jpg 0770 g_3 hard
.\MVB_train\Image\0770_p_1.jpg 0770 p_1 hard
.\MVB_train\Image\0770_p_2.jpg 0770 p_2 hard
.\MVB_train\Image\0770_p_3.jpg 0770 p_3 hard
.\MVB_train\Image\0770_p_4.jpg 0770 p_4 hard
.\MVB_train\Image\0771_g_1.jpg 0771 g_1 hard
.\MVB_train\Image\0771_g_2.jpg 0771 g_2 hard
.\MVB_train\Image\0771_g_3.jpg 0771 g_3 hard
.\MVB_train\Image\0771_p_1.jpg 0771 p_1 hard
.\MVB_train\Image\0772_g_1.jpg 0772 g_1 hard
.\MVB_train\Image\0772_g_2.jpg 0772 g_2 hard
.\MVB_train\Image\0772_g_3.jpg 0772 g_3 hard
.\MVB_train\Image\0772_p_2.jpg 0772 p_2 hard
.\MVB_train\Image\0772_p_3.jpg 0772 p_3 hard
.\MVB_train\Image\0772_p_4.jpg 0772 p_4 hard
.\MVB_train\Image\0773_g_2.jpg 0773 g_2 hard
.\MVB_train\Image\0773_g_3.jpg 0773 g_3 hard
.\MVB_train\Image\0773_p_2.jpg 0773 p_2 hard
.\MVB_train\Image\0773_p_3.jpg 0773 p_3 hard
.\MVB_train\Image\0773_p_4.jpg 0773 p_4 hard
.\MVB_train\Image\0774_g_1.jpg 0774 g_1 others
.\MVB_train\Image\0774_g_2.jpg 0774 g_2 others
.\MVB_train\Image\0774_g_3.jpg 0774 g_3 others
.\MVB_train\Image\0774_p_3.jpg 0774 p_3 others
.\MVB_train\Image\0774_p_4.jpg 0774 p_4 others
.\MVB_train\Image\0775_g_1.jpg 0775 g_1 others
.\MVB_train\Image\0775_g_2.jpg 0775 g_2 others
.\MVB_train\Image\0775_g_3.jpg 0775 g_3 others
.\MVB_train\Image\0775_p_1.jpg 0775 p_1 others
.\MVB_train\Image\0775_p_2.jpg 0775 p_2 others
.\MVB_train\Image\0775_p_3.jpg 0775 p_3 others
.\MVB_train\Image\0775_p_4.jpg 0775 p_4 others
.\MVB_train\Image\0776_g_1.jpg 0776 g_1 soft
.\MVB_train\Image\0776_g_2.jpg 0776 g_2 soft
.\MVB_train\Image\0776_g_3.jpg 0776 g_3 soft
.\MVB_train\Image\0776_p_3.jpg 0776 p_3 soft
.\MVB_train\Image\0776_p_4.jpg 0776 p_4 soft
.\MVB_train\Image\0777_g_1.jpg 0777 g_1 soft
.\MVB_train\Image\0777_g_2.jpg 0777 g_2 soft
.\MVB_train\Image\0777_g_3.jpg 0777 g_3 soft
.\MVB_train\Image\0777_p_1.jpg 0777 p_1 soft
.\MVB_train\Image\0777_p_2.jpg 0777 p_2 soft
.\MVB_train\Image\0777_p_3.jpg 0777 p_3 soft
.\MVB_train\Image\0777_p_4.jpg 0777 p_4 soft
.\MVB_train\Image\0778_g_1.jpg 0778 g_1 hard
.\MVB_train\Image\0778_g_2.jpg 0778 g_2 hard
.\MVB_train\Image\0778_g_3.jpg 0778 g_3 hard
.\MVB_train\Image\0778_p_1.jpg 0778 p_1 hard
.\MVB_train\Image\0778_p_2.jpg 0778 p_2 hard
.\MVB_train\Image\0778_p_3.jpg 0778 p_3 hard
.\MVB_train\Image\0778_p_4.jpg 0778 p_4 hard
.\MVB_train\Image\0779_g_1.jpg 0779 g_1 soft
.\MVB_train\Image\0779_g_2.jpg 0779 g_2 soft
.\MVB_train\Image\0779_g_3.jpg 0779 g_3 soft
.\MVB_train\Image\0779_p_1.jpg 0779 p_1 soft
.\MVB_train\Image\0779_p_2.jpg 0779 p_2 soft
.\MVB_train\Image\0779_p_3.jpg 0779 p_3 soft
.\MVB_train\Image\0780_g_1.jpg 0780 g_1 hard
.\MVB_train\Image\0780_g_2.jpg 0780 g_2 hard
.\MVB_train\Image\0780_g_3.jpg 0780 g_3 hard
.\MVB_train\Image\0780_p_3.jpg 0780 p_3 hard
.\MVB_train\Image\0780_p_4.jpg 0780 p_4 hard
.\MVB_train\Image\0781_g_1.jpg 0781 g_1 hard
.\MVB_train\Image\0781_g_2.jpg 0781 g_2 hard
.\MVB_train\Image\0781_g_3.jpg 0781 g_3 hard
.\MVB_train\Image\0781_p_3.jpg 0781 p_3 hard
.\MVB_train\Image\0781_p_4.jpg 0781 p_4 hard
.\MVB_train\Image\0782_g_1.jpg 0782 g_1 soft
.\MVB_train\Image\0782_g_2.jpg 0782 g_2 soft
.\MVB_train\Image\0782_g_3.jpg 0782 g_3 soft
.\MVB_train\Image\0782_p_3.jpg 0782 p_3 soft
.\MVB_train\Image\0782_p_4.jpg 0782 p_4 soft
.\MVB_train\Image\0783_g_2.jpg 0783 g_2 hard
.\MVB_train\Image\0783_g_3.jpg 0783 g_3 hard
.\MVB_train\Image\0783_p_2.jpg 0783 p_2 hard
.\MVB_train\Image\0783_p_3.jpg 0783 p_3 hard
.\MVB_train\Image\0783_p_4.jpg 0783 p_4 hard
.\MVB_train\Image\0784_g_1.jpg 0784 g_1 others
.\MVB_train\Image\0784_g_2.jpg 0784 g_2 others
.\MVB_train\Image\0784_g_3.jpg 0784 g_3 others
.\MVB_train\Image\0784_p_3.jpg 0784 p_3 others
.\MVB_train\Image\0784_p_4.jpg 0784 p_4 others
.\MVB_train\Image\0785_g_1.jpg 0785 g_1 hard
.\MVB_train\Image\0785_g_2.jpg 0785 g_2 hard
.\MVB_train\Image\0785_g_3.jpg 0785 g_3 hard
.\MVB_train\Image\0785_p_3.jpg 0785 p_3 hard
.\MVB_train\Image\0785_p_4.jpg 0785 p_4 hard
.\MVB_train\Image\0786_g_1.jpg 0786 g_1 hard
.\MVB_train\Image\0786_g_2.jpg 0786 g_2 hard
.\MVB_train\Image\0786_g_3.jpg 0786 g_3 hard
.\MVB_train\Image\0786_p_1.jpg 0786 p_1 hard
.\MVB_train\Image\0786_p_2.jpg 0786 p_2 hard
.\MVB_train\Image\0786_p_3.jpg 0786 p_3 hard
.\MVB_train\Image\0787_g_1.jpg 0787 g_1 hard
.\MVB_train\Image\0787_g_2.jpg 0787 g_2 hard
.\MVB_train\Image\0787_g_3.jpg 0787 g_3 hard
.\MVB_train\Image\0787_p_1.jpg 0787 p_1 hard
.\MVB_train\Image\0787_p_2.jpg 0787 p_2 hard
.\MVB_train\Image\0787_p_3.jpg 0787 p_3 hard
.\MVB_train\Image\0787_p_4.jpg 0787 p_4 hard
.\MVB_train\Image\0788_g_1.jpg 0788 g_1 paperboard
.\MVB_train\Image\0788_g_2.jpg 0788 g_2 paperboard
.\MVB_train\Image\0788_g_3.jpg 0788 g_3 paperboard
.\MVB_train\Image\0788_p_1.jpg 0788 p_1 paperboard
.\MVB_train\Image\0788_p_2.jpg 0788 p_2 paperboard
.\MVB_train\Image\0789_g_1.jpg 0789 g_1 soft
.\MVB_train\Image\0789_g_2.jpg 0789 g_2 soft
.\MVB_train\Image\0789_g_3.jpg 0789 g_3 soft
.\MVB_train\Image\0789_p_3.jpg 0789 p_3 soft
.\MVB_train\Image\0790_g_1.jpg 0790 g_1 hard
.\MVB_train\Image\0790_g_2.jpg 0790 g_2 hard
.\MVB_train\Image\0790_g_3.jpg 0790 g_3 hard
.\MVB_train\Image\0790_p_1.jpg 0790 p_1 hard
.\MVB_train\Image\0790_p_3.jpg 0790 p_3 hard
.\MVB_train\Image\0790_p_4.jpg 0790 p_4 hard
.\MVB_train\Image\0791_g_1.jpg 0791 g_1 hard
.\MVB_train\Image\0791_g_2.jpg 0791 g_2 hard
.\MVB_train\Image\0791_g_3.jpg 0791 g_3 hard
.\MVB_train\Image\0791_p_3.jpg 0791 p_3 hard
.\MVB_train\Image\0791_p_4.jpg 0791 p_4 hard
.\MVB_train\Image\0792_g_1.jpg 0792 g_1 others
.\MVB_train\Image\0792_g_2.jpg 0792 g_2 others
.\MVB_train\Image\0792_g_3.jpg 0792 g_3 others
.\MVB_train\Image\0792_p_3.jpg 0792 p_3 others
.\MVB_train\Image\0792_p_4.jpg 0792 p_4 others
.\MVB_train\Image\0793_g_1.jpg 0793 g_1 others
.\MVB_train\Image\0793_g_2.jpg 0793 g_2 others
.\MVB_train\Image\0793_g_3.jpg 0793 g_3 others
.\MVB_train\Image\0793_p_3.jpg 0793 p_3 others
.\MVB_train\Image\0793_p_4.jpg 0793 p_4 others
.\MVB_train\Image\0794_g_1.jpg 0794 g_1 hard
.\MVB_train\Image\0794_g_2.jpg 0794 g_2 hard
.\MVB_train\Image\0794_g_3.jpg 0794 g_3 hard
.\MVB_train\Image\0794_p_3.jpg 0794 p_3 hard
.\MVB_train\Image\0794_p_4.jpg 0794 p_4 hard
.\MVB_train\Image\0795_g_1.jpg 0795 g_1 hard
.\MVB_train\Image\0795_g_2.jpg 0795 g_2 hard
.\MVB_train\Image\0795_g_3.jpg 0795 g_3 hard
.\MVB_train\Image\0795_p_3.jpg 0795 p_3 hard
.\MVB_train\Image\0795_p_4.jpg 0795 p_4 hard
.\MVB_train\Image\0796_g_1.jpg 0796 g_1 hard
.\MVB_train\Image\0796_g_2.jpg 0796 g_2 hard
.\MVB_train\Image\0796_g_3.jpg 0796 g_3 hard
.\MVB_train\Image\0796_p_3.jpg 0796 p_3 hard
.\MVB_train\Image\0796_p_4.jpg 0796 p_4 hard
.\MVB_train\Image\0797_g_1.jpg 0797 g_1 paperboard
.\MVB_train\Image\0797_g_2.jpg 0797 g_2 paperboard
.\MVB_train\Image\0797_g_3.jpg 0797 g_3 paperboard
.\MVB_train\Image\0797_p_3.jpg 0797 p_3 paperboard
.\MVB_train\Image\0797_p_4.jpg 0797 p_4 paperboard
.\MVB_train\Image\0798_g_1.jpg 0798 g_1 hard
.\MVB_train\Image\0798_g_2.jpg 0798 g_2 hard
.\MVB_train\Image\0798_p_3.jpg 0798 p_3 hard
.\MVB_train\Image\0798_p_4.jpg 0798 p_4 hard
.\MVB_train\Image\0799_g_1.jpg 0799 g_1 others
.\MVB_train\Image\0799_g_2.jpg 0799 g_2 others
.\MVB_train\Image\0799_g_3.jpg 0799 g_3 others
.\MVB_train\Image\0799_p_3.jpg 0799 p_3 others
.\MVB_train\Image\0799_p_4.jpg 0799 p_4 others
.\MVB_train\Image\0800_g_1.jpg 0800 g_1 hard
.\MVB_train\Image\0800_g_2.jpg 0800 g_2 hard
.\MVB_train\Image\0800_g_3.jpg 0800 g_3 hard
.\MVB_train\Image\0800_p_3.jpg 0800 p_3 hard
.\MVB_train\Image\0801_g_1.jpg 0801 g_1 hard
.\MVB_train\Image\0801_g_2.jpg 0801 g_2 hard
.\MVB_train\Image\0801_g_3.jpg 0801 g_3 hard
.\MVB_train\Image\0801_p_3.jpg 0801 p_3 hard
.\MVB_train\Image\0802_g_1.jpg 0802 g_1 paperboard
.\MVB_train\Image\0802_g_2.jpg 0802 g_2 paperboard
.\MVB_train\Image\0802_g_3.jpg 0802 g_3 paperboard
.\MVB_train\Image\0802_p_3.jpg 0802 p_3 paperboard
.\MVB_train\Image\0802_p_4.jpg 0802 p_4 paperboard
.\MVB_train\Image\0803_g_1.jpg 0803 g_1 hard
.\MVB_train\Image\0803_g_2.jpg 0803 g_2 hard
.\MVB_train\Image\0803_g_3.jpg 0803 g_3 hard
.\MVB_train\Image\0803_p_3.jpg 0803 p_3 hard
.\MVB_train\Image\0803_p_4.jpg 0803 p_4 hard
.\MVB_train\Image\0804_g_1.jpg 0804 g_1 hard
.\MVB_train\Image\0804_g_2.jpg 0804 g_2 hard
.\MVB_train\Image\0804_g_3.jpg 0804 g_3 hard
.\MVB_train\Image\0804_p_3.jpg 0804 p_3 hard
.\MVB_train\Image\0804_p_4.jpg 0804 p_4 hard
.\MVB_train\Image\0805_g_1.jpg 0805 g_1 paperboard
.\MVB_train\Image\0805_g_2.jpg 0805 g_2 paperboard
.\MVB_train\Image\0805_g_3.jpg 0805 g_3 paperboard
.\MVB_train\Image\0805_p_3.jpg 0805 p_3 paperboard
.\MVB_train\Image\0805_p_4.jpg 0805 p_4 paperboard
.\MVB_train\Image\0806_g_1.jpg 0806 g_1 hard
.\MVB_train\Image\0806_g_2.jpg 0806 g_2 hard
.\MVB_train\Image\0806_g_3.jpg 0806 g_3 hard
.\MVB_train\Image\0806_p_4.jpg 0806 p_4 hard
.\MVB_train\Image\0807_g_1.jpg 0807 g_1 hard
.\MVB_train\Image\0807_g_2.jpg 0807 g_2 hard
.\MVB_train\Image\0807_g_3.jpg 0807 g_3 hard
.\MVB_train\Image\0807_p_3.jpg 0807 p_3 hard
.\MVB_train\Image\0807_p_4.jpg 0807 p_4 hard
.\MVB_train\Image\0808_g_1.jpg 0808 g_1 others
.\MVB_train\Image\0808_g_2.jpg 0808 g_2 others
.\MVB_train\Image\0808_g_3.jpg 0808 g_3 others
.\MVB_train\Image\0808_p_3.jpg 0808 p_3 others
.\MVB_train\Image\0808_p_4.jpg 0808 p_4 others
.\MVB_train\Image\0809_g_1.jpg 0809 g_1 soft
.\MVB_train\Image\0809_g_2.jpg 0809 g_2 soft
.\MVB_train\Image\0809_g_3.jpg 0809 g_3 soft
.\MVB_train\Image\0809_p_1.jpg 0809 p_1 soft
.\MVB_train\Image\0809_p_2.jpg 0809 p_2 soft
.\MVB_train\Image\0810_g_1.jpg 0810 g_1 soft
.\MVB_train\Image\0810_g_3.jpg 0810 g_3 soft
.\MVB_train\Image\0810_p_3.jpg 0810 p_3 soft
.\MVB_train\Image\0810_p_4.jpg 0810 p_4 soft
.\MVB_train\Image\0811_g_1.jpg 0811 g_1 hard
.\MVB_train\Image\0811_g_2.jpg 0811 g_2 hard
.\MVB_train\Image\0811_g_3.jpg 0811 g_3 hard
.\MVB_train\Image\0811_p_1.jpg 0811 p_1 hard
.\MVB_train\Image\0812_g_1.jpg 0812 g_1 hard
.\MVB_train\Image\0812_g_2.jpg 0812 g_2 hard
.\MVB_train\Image\0812_g_3.jpg 0812 g_3 hard
.\MVB_train\Image\0812_p_1.jpg 0812 p_1 hard
.\MVB_train\Image\0812_p_4.jpg 0812 p_4 hard
.\MVB_train\Image\0813_g_1.jpg 0813 g_1 soft
.\MVB_train\Image\0813_g_2.jpg 0813 g_2 soft
.\MVB_train\Image\0813_p_1.jpg 0813 p_1 soft
.\MVB_train\Image\0813_p_2.jpg 0813 p_2 soft
.\MVB_train\Image\0813_p_3.jpg 0813 p_3 soft
.\MVB_train\Image\0813_p_4.jpg 0813 p_4 soft
.\MVB_train\Image\0814_g_1.jpg 0814 g_1 paperboard
.\MVB_train\Image\0814_g_2.jpg 0814 g_2 paperboard
.\MVB_train\Image\0814_g_3.jpg 0814 g_3 paperboard
.\MVB_train\Image\0814_p_3.jpg 0814 p_3 paperboard
.\MVB_train\Image\0814_p_4.jpg 0814 p_4 paperboard
.\MVB_train\Image\0815_g_1.jpg 0815 g_1 others
.\MVB_train\Image\0815_g_2.jpg 0815 g_2 others
.\MVB_train\Image\0815_g_3.jpg 0815 g_3 others
.\MVB_train\Image\0815_p_3.jpg 0815 p_3 others
.\MVB_train\Image\0815_p_4.jpg 0815 p_4 others
.\MVB_train\Image\0816_g_1.jpg 0816 g_1 hard
.\MVB_train\Image\0816_g_3.jpg 0816 g_3 hard
.\MVB_train\Image\0816_p_1.jpg 0816 p_1 hard
.\MVB_train\Image\0816_p_2.jpg 0816 p_2 hard
.\MVB_train\Image\0816_p_3.jpg 0816 p_3 hard
.\MVB_train\Image\0816_p_4.jpg 0816 p_4 hard
.\MVB_train\Image\0817_g_1.jpg 0817 g_1 hard
.\MVB_train\Image\0817_g_2.jpg 0817 g_2 hard
.\MVB_train\Image\0817_g_3.jpg 0817 g_3 hard
.\MVB_train\Image\0817_p_1.jpg 0817 p_1 hard
.\MVB_train\Image\0817_p_2.jpg 0817 p_2 hard
.\MVB_train\Image\0817_p_4.jpg 0817 p_4 hard
.\MVB_train\Image\0818_g_1.jpg 0818 g_1 hard
.\MVB_train\Image\0818_g_2.jpg 0818 g_2 hard
.\MVB_train\Image\0818_g_3.jpg 0818 g_3 hard
.\MVB_train\Image\0818_p_1.jpg 0818 p_1 hard
.\MVB_train\Image\0818_p_2.jpg 0818 p_2 hard
.\MVB_train\Image\0818_p_3.jpg 0818 p_3 hard
.\MVB_train\Image\0818_p_4.jpg 0818 p_4 hard
.\MVB_train\Image\0819_g_1.jpg 0819 g_1 hard
.\MVB_train\Image\0819_g_3.jpg 0819 g_3 hard
